SCH_ID,REGION,DISTRICT,TEHSIL,UC,SCH_PREFIX,SCH_NAME,STATUS,SCH_LEVEL,SCH_GENDER,LONGITUDE,LATITUDE
401010270,Hyderabad,Badin,Badin,Muhammad Khan Bhurgari,GBPS,KHALIFO HASHIM SOOMRO,Functional,Primary,Boys,68.9478,24.605
401010175,Hyderabad,Badin,Badin,Chakar Khan Panwar,GGPS,AMIR BUX MALLAH @ HASHIM JAT,Functional,Primary,Girls,69.0758,24.3931
401010176,Hyderabad,Badin,Badin,10-Kadhan,GGPS,MITHAN SUBERO,Closed Temporary,Primary,Girls,68.9958,24.4897
401010188,Hyderabad,Badin,Badin,Mitho Khan Cahndio,GGPS,HAJI UMER JUNEJO,Functional,Primary,Girls,68.9978,24.3914
401010201,Hyderabad,Badin,Badin,10-Kadhan,GGPS,ALLAH DITO CHANDIO,Closed Permanent,Primary,Girls,69.0025,24.4833
401010202,Hyderabad,Badin,Badin,Shaheed Rani @ Allah Dino Jamali,GGPS,SYED IBRAHIM SHAH,Functional,Primary,Girls,68.9953,24.4597
401010302,Hyderabad,Badin,Badin,Shaheed Rani @ Allah Dino Jamali,GBPS,TAHIR BAJEER,Functional,Primary,Boys,68.9342,24.4681
401010417,Hyderabad,Badin,Badin,Shaheed Rani @ Allah Dino Jamali,GBPS,ALLAH JURIO BAJIR,Functional,Primary,Mixed,68.9558,24.4636
401010419,Hyderabad,Badin,Badin,Shaheed Rani @ Allah Dino Jamali,GBPS,Sulleman Notiar,Functional,Primary,Mixed,68.9975,24.5147
401010423,Hyderabad,Badin,Badin,Mitho Khan Cahndio,GBPS,AHMED KHAN CHANDIO,Functional,Primary,Boys,69.0294,24.4986
401010429,Hyderabad,Badin,Badin,Shaheed Rani @ Allah Dino Jamali,GBPS,GHAZI NOTIAR,Functional,Primary,Boys,69.0106,24.5064
401010436,Hyderabad,Badin,Badin,Kadhan-Tc,GBPS,QAIM CHANDIO,Functional,Primary,Mixed,69.0003,24.4736
401010438,Hyderabad,Badin,Badin,Kadhan-Tc,GBPS,HAJI ADAM KHASKHELI,Functional,Primary,Mixed,68.9953,24.4528
401010439,Hyderabad,Badin,Badin,Shaheed Rani @ Allah Dino Jamali,GBPS,MOLVI USMAN CHANDIO,Functional,Primary,Mixed,68.96,24.4633
401010440,Hyderabad,Badin,Badin,Kadhan-Tc,GBPS,TAMACHI BAJIR,Functional,Primary,Mixed,68.9942,24.4742
401010466,Hyderabad,Badin,Badin,Mitho Khan Cahndio,GBPS,MITHO KHAN CHANDIO,Functional,Primary,Mixed,69.0306,24.4625
401010469,Hyderabad,Badin,Badin,Mitho Khan Cahndio,GBPS,DARIA KHAN CHANDIO,Functional,Primary,Mixed,69.0236,24.4858
401010473,Hyderabad,Badin,Badin,Mitho Khan Cahndio,GBPS,PUNJAB CHAK NO.II,Closed Permanent,Primary,Boys,69.0122,24.4653
401010474,Hyderabad,Badin,Badin,Mitho Khan Cahndio,GBPS,ALLAH DITO CHANDIO,Functional,Primary,Boys,69.0025,24.4828
401010475,Hyderabad,Badin,Badin,10-Kadhan,GBPS,KHAIR MUHAMMAD NOTIAR,Closed Permanent,Primary,Boys,68.99,24.5019
401010495,Hyderabad,Badin,Badin,Nindo Shaher,GBPS,HAJI UMAR SOOMRO,Functional,Primary,Boys,68.9764,24.6725
401010523,Hyderabad,Badin,Badin,Kadhan-Tc,GBPS,UMAR JUNEJO,Functional,Primary,Boys,68.9881,24.4589
401010537,Hyderabad,Badin,Badin,Mitho Khan Cahndio,GBPS,KHAN MUHAMMAD TALPUR @ GHULAM MEHRA,Functional,Primary,Mixed,68.9814,24.3925
401010556,Hyderabad,Badin,Badin,Shaheed Rani @ Allah Dino Jamali,GBPS,MUHAMMAD KHAN CHANDIO,Functional,Primary,Boys,68.9756,24.4644
401010582,Hyderabad,Badin,Badin,Shaheed Rani @ Allah Dino Jamali,GBPS,NAWAB ALI JAMALI,Functional,Primary,Mixed,68.9744,24.4667
401010595,Hyderabad,Badin,Badin,Mitho Khan Cahndio,GBPS,HAJI ABDULLAH BROHI,Closed Permanent,Primary,Boys,68.9931,24.4094
401010649,Hyderabad,Badin,Badin,Kadhan-Tc,GBPS,GHULAM CHANDIO,Functional,Primary,Boys,68.9839,24.4825
401010650,Hyderabad,Badin,Badin,Kadhan-Tc,GBPS,SONO CHANDIO,Functional,Primary,Mixed,68.9906,24.4653
401010653,Hyderabad,Badin,Badin,Mitho Khan Cahndio,GBPS,DHANI BUX KHASKHELI,Functional,Primary,Boys,68.9875,24.4533
401010727,Hyderabad,Badin,Badin,Kadhan-Tc,GBPS,MASU KHAN CHANDIO,Functional,Primary,Mixed,68.9831,24.4819
401010728,Hyderabad,Badin,Badin,Shaheed Rani @ Allah Dino Jamali,GBPS,BAHAWAL KHAN CHANDIO,Functional,Primary,Mixed,68.9692,24.4936
401010729,Hyderabad,Badin,Badin,Mitho Khan Cahndio,GBPS,AZIZ PATHAN @ HAJI CHANDIO,Functional,Primary,Mixed,69.0092,24.4833
401010732,Hyderabad,Badin,Badin,Kadhan-Tc,GBPS,ALI MUHAMMED JAMALI,Functional,Primary,Mixed,68.9889,24.4758
401010733,Hyderabad,Badin,Badin,Shaheed Rani @ Allah Dino Jamali,GBPS,MUHAMMAD SADDIQUE BAJEER,Functional,Primary,Boys,68.9592,24.4839
401010734,Hyderabad,Badin,Badin,Shaheed Rani @ Allah Dino Jamali,GBPS,HAJI SIDDIQUE NOTIAR,Functional,Primary,Boys,68.9467,24.4519
401010735,Hyderabad,Badin,Badin,Mitho Khan Cahndio,GBPS,VIKIO LANGAR,Functional,Primary,Mixed,69.0119,24.5022
401010736,Hyderabad,Badin,Badin,Mitho Khan Cahndio,GBPS,Uris Khaskheli,Functional,Primary,Mixed,69.0067,24.4647
401010737,Hyderabad,Badin,Badin,Mitho Khan Cahndio,GBPS,GIDOO KHOR,Functional,Primary,Boys,68.9958,24.4483
401010739,Hyderabad,Badin,Badin,Mitho Khan Cahndio,GBPS,AMIR BUX BROHI,Functional,Primary,Mixed,69.0086,24.4164
401010807,Hyderabad,Badin,Badin,Mitho Khan Cahndio,GBLSS,IBRAHIM SHORO,Functional,Middle,Boys,69.0128,24.3969
401010829,Hyderabad,Badin,Badin,Kadhan-Tc,GBHS,KADHAN,Functional,Secondary,Boys,68.9847,24.4844
401010010,Hyderabad,Badin,Badin,Seerani,GBPS,PIR ALI MUHAMMAD SHAH,Functional,Primary,Mixed,68.819963,24.462974
401010011,Hyderabad,Badin,Badin,Pir Fatah Shah,GBPS,ABDULLAH MANDHRO,Functional,Primary,Mixed,68.806225,24.57037
401010012,Hyderabad,Badin,Badin,Pir Fatah Shah,GBPS,MIR KHAN CHANG,Functional,Primary,Boys,68.814827,24.556747
401010013,Hyderabad,Badin,Badin,Seerani,GBPS,MUHAMMAD KHAN PUSIO,Functional,Primary,Mixed,68.813666,24.456021
401010028,Hyderabad,Badin,Badin,Bhugra Memon,GBPS,MUHAMMAD BACHAL JAKHRO,Functional,Primary,Mixed,68.748504,24.429198
401010071,Hyderabad,Badin,Badin,Seerani,GBPS,HAJI DARYA KHAN WARAR,Functional,Primary,Boys,68.761167,24.486569
401010080,Hyderabad,Badin,Badin,Seerani,GBPS,MOOSA SAMEJO,Functional,Primary,Mixed,68.754293,24.49884
401010096,Hyderabad,Badin,Badin,Shaheed Dodo Soomro@ Lakho Pir,GBPS,MOOSA PUSIO,Functional,Primary,Boys,68.80913,24.445008
401010120,Hyderabad,Badin,Badin,Shaheed Dodo Soomro@ Lakho Pir,GBPS,MUHAMMAD IBRAHIM RIND,Functional,Primary,Mixed,68.861637,24.491035
401010121,Hyderabad,Badin,Badin,Bhugra Memon,GBPS,ABDUL KARIM BUCHO,Functional,Primary,Mixed,68.764522,24.445897
401010136,Hyderabad,Badin,Badin,Seerani,GGPS,SALAHI WARER,Functional,Primary,Girls,68.741141,24.464043
401010141,Hyderabad,Badin,Badin,11-Seerani,GGPS,RASOOL BUX MANDHRO,Closed Permanent,Primary,Girls,68.785745,24.4959
401010187,Hyderabad,Badin,Badin,Seerani,GGPS,MOOSA SAMIJO,Functional,Primary,Girls,68.753312,24.498023
401010193,Hyderabad,Badin,Badin,Bhugra Memon,GGPS,MOHAR PALI,Functional,Primary,Girls,68.802295,24.424261
401010195,Hyderabad,Badin,Badin,Seerani,GGPS,HAJI DARYA KHAN,Functional,Primary,Girls,68.761167,24.486569
401010207,Hyderabad,Badin,Badin,Pir Fatah Shah,GGPS,SABOO KHAN CHANG,Functional,Primary,Girls,68.852299,24.464336
